"generator_index","generator_sample_index","m","n","gen_fn","bic_a1","nknots_a1","p_a1","bic_a2","nknots_a2","p_a2","bic_diff","nknots_diff","p_diffs"
"3","1",2000,250,"Runge",-398.375295223821,4,0.00197513656653145,-424.856928135347,3,0.000884478892646939,26.4816329115266,1,0.00109065767388451
"3","1",2000,250,"Runge",-382.049606251539,4,0.00198034715061498,-418.823203478475,3,0.000474950935774159,36.7735972269359,1,0.00150539621484082
"3","1",2000,250,"Runge",-401.034393584944,2,0.000426385186002685,-427.571750291396,3,0.000756413704642615,26.537356706452,-1,-0.00033002851863993
"3","1",2000,250,"Runge",-378.027983797382,4,0.00185562865351542,-419.496862274504,3,0.000794136269136614,41.4688784771229,1,0.0010614923843788
"3","1",2000,250,"Runge",-412.644113020598,2,0.00145494568044715,-452.227197577455,3,0.000247571045362933,39.5830845568565,-1,0.00120737463508422
"3","1",2000,250,"Runge",-391.610016785033,2,0.00146039071733662,-391.610016785033,2,0.00146039071733662,1.13686837721616e-13,0,-2.16840434497101e-18
"3","1",2000,250,"Runge",-359.92950946614,4,0.00167487086197393,-362.113488934561,3,0.00176634374906077,2.183979468421,1,-9.14728870868343e-05
"3","1",2000,250,"Runge",-404.517599651165,2,0.000632580337366526,-404.517599651165,2,0.000632580337366522,-1.13686837721616e-13,0,4.01154803819637e-18
"3","1",2000,250,"Runge",-401.479047762215,2,0.000785850555469326,-401.479047762215,2,0.000785850555469329,0,0,-3.46944695195361e-18
"3","1",2000,250,"Runge",-354.089967464622,4,0.00263317568629158,-419.969777220898,3,0.000558849129769546,65.8798097562765,1,0.00207432655652203
"3","1",2000,250,"Runge",-366.337000392572,2,0.00380021840774799,-413.011669970223,4,0.00114105068720331,46.6746695776509,-2,0.00265916772054469
"3","1",2000,250,"Runge",-381.054623921585,2,0.000726799931041116,-399.238822912677,3,0.000420184789902496,18.1841989910918,-1,0.00030661514113862
"3","1",2000,250,"Runge",-368.577786592244,4,0.00176050471219344,-411.634428828718,3,0.00042438615265314,43.056642236474,1,0.0013361185595403
"3","1",2000,250,"Runge",-365.703196509331,4,0.00319012857297618,-409.378594690952,3,0.00125221096040185,43.6753981816211,1,0.00193791761257433
"3","1",2000,250,"Runge",-393.568723123829,4,0.00239182144863197,-447.281728186378,4,0.00102448944978301,53.713005062549,0,0.00136733199884896
