"age","anxi","artgluctot","attachphone","avoid","cbt","csi","DEQ","DIDF","draw","eatdrink","endtime","eng","EOT","exercise","filter_.","german","gluctot","health","heightm","home","humid","id","langfamily","mand","meds","mintemp","monog","norweg","nostalgia","nwsize","onlineid","pol","portuguese","romantic","seconds","selfc","serb","sex","sexpref","sinod","smoke","socialembedded","spanish","stress","turk","urald","weight"
1996,0.874288129191117,0,1.66666666666667,-0.158368671164103,35.6,8,44.818603515625,2.63636363636364,0.0283977291546762,1,"10:55:22",0,2.2,2,1,0,2,4,1.8,3.88888888888889,45,42,1,0,2,12,7,0,3.16666666666667,11,2.63636363636364,0,0,1,39322,2.61538461538462,1,1,1,0,2,2,0,2.85714285714286,0,0,65
1992,0.452723228128915,0,3.55555555555556,-0.39926443579761,36.9166666666667,9,40.214004516602,1.36363636363636,0.0309704504907131,1,"11:19:33",1,2.2,2,1,0,1,3,1.8288,5,94,46,1,0,1,13.3333333333333,1,0,6.33333333333333,33,2,0,0,1,40773,3.84615384615385,0,2,1,0,2,2,0,2.92857142857143,0,0,91.8181818181818
1993,0.788896183639555,0,3.77777777777778,0.946720829373559,36.5,8,39.911697387695,2.18181818181818,0.0325341792777181,1,"11:02:29",0,2.6,2,0,0,2,2,1.71,4.66666666666667,71,48,2,0,2,7,7,0,5.16666666666667,34,3.27272727272727,0,0,2,39749,3.30769230769231,0,2,2,0,2,3,0,3.42857142857143,1,1,72
1996,1.55743099745154,1,5,0.661613721638314,36.95,9,51.583297729492,4.63636363636364,0.0342014078050852,1,"10:11:23",0,2.8,2,1,0,11,4,1.56,4.33333333333333,70,50,1,0,2,4,4,0,6.2,21,4.36363636363636,1,0,1,36683,3,0,2,3,0,2,1,0,4.28571428571429,0,0,60
1995,0.960301408144605,0,2.88888888888889,0.618666750973312,36.75,7,59.912704467773,3,0.0357110067270696,2,"14:34:55",0,2.6,2,1,0,0,4,1.75,4.22222222222222,87,54,1,0,2,1,6,1,5.66666666666667,19,3.63636363636364,0,0,1,52495,2.84615384615385,0,2,1,0,2,2,0,3.35714285714286,0,0,67
1994,-0.324241232892508,1,4.88888888888889,-0.236554107449617,35.3,7,51.75,2.09090909090909,0.0372513611800969,1,"8:37:53",1,2.8,1,1,0,1,2,1.63,4.22222222222222,71,56,1,0,2,1.66666666666667,3,0,4.83333333333333,23,4.18181818181818,0,0,1,31073,3.38461538461538,0,2,1,0,2,3,0,2.92857142857143,0,0,57
1953,-0.158854470020997,0,2,-0.657664150043497,36.45,7,51.75,1.90909090909091,0.0391370407305658,1,"8:02:17",1,2.2,2,1,0,1,3,1.6256,4.66666666666667,74,60,1,0,2,2.77777777777778,6,0,4,47,2,0,0,1,28937,2.76923076923077,0,2,1,0,2,3,0,2.5,0,0,63.6363636363636
1991,-0.267511955152129,4,1.88888888888889,1.52871707283049,36.2,9,52.25,3.81818181818182,0.0392695488408208,1,"10:15:05",0,2.6,2,1,0,2,4,1.58,4.55555555555556,75,62,1,0,2,0,6,0,1.8,16,2,1,0,1,36905,3.30769230769231,0,2,1,0,2,2,0,2.35714285714286,0,0,48
1986,-0.43300644198693,1,3.22222222222222,-0.684580192278389,36.8888888888889,9,37.552200317383,3.54545454545455,0.0418931576423347,1,"9:43:25",1,2.2,2,1,0,0,3,1.7018,3.77777777777778,57,64,1,0,1,17.2222222222222,7,0,2.5,25,3.45454545454545,0,0,1,35005,2.84615384615385,0,2,1,0,2,3,0,3.71428571428571,0,0,93.1818181818182
1995,-0.886577642377315,0,2.77777777777778,-0.719946157095973,36.2,6,1.2931060791016,2,0.0449215653352439,1,"10:59:19",1,2.2,2,1,0,4,4,1.68,3.88888888888889,71,68,1,0,2,26,4,0,4.83333333333333,20,3.36363636363636,0,0,1,39559,3.61538461538462,0,2,1,0,2,4,0,2.42857142857143,0,0,53
